CHEBI:50172,
nlx_152579,
nlx_152580,
birnlex_7198,NIFORG:birnlex_7198
nlx_152225,
nlx_151397,
nlx_149513,
nlx_149514,
nlx_149515,
nlx_149516,
nlx_149517,
nlx_149518,
nlx_149519,
nlx_149520,
nlx_149521,
nlx_149522,
nlx_149523,
nlx_149524,
nlx_149525,
nlx_149526,
nlx_149527,
T3D0037,
sao925531236,NIFMOL:sao925531236
sao811908115,NIFMOL:sao811908115
sao1785445428,NIFMOL:sao1785445428
sao1281431356,NIFMOL:sao1281431356
sao1588493326,NIFSUB:sao1588493326
PATO_0001967,OBO:PATO_0001967
PATO_0001328,OBO:PATO_0001328
birnlex_478,NIFORG:birnlex_478
birnlex_482,NIFORG:birnlex_482
oen_0001094,
nlx_146017,
birnlex_2003,NIFINV:birnlex_2003
nlx_146018,
PATO_0001463,OBO:PATO_0001463
nlx_152523,
sao5413665309,NIFQUAL:sao5413665309
PATO_0001707,OBO:PATO_0001707
nlx_149528,
nlx_149529,
sao1470121605,NIFSUB:sao1470121605
sao494258938,NIFSUB:sao494258938
sao2038461087,NIFSUB:sao2038461087
oen_0001092,
PATO_0001740,OBO:PATO_0001740
oen_0001091,
nlx_149530,
birnlex_400,NIFORG:birnlex_400
birnlex_2011,NIFINV:birnlex_2011
PATO_0000389,OBO:PATO_0000389
birnlex_12510,NIFDYS:birnlex_12510
birnlex_12513,NIFDYS:birnlex_12513
birnlex_12680,NIFDYS:birnlex_12680
PATO_0001051,OBO:PATO_0001051
nlx_inv_100808,
nlx_inv_100807,
DB00051,
nlx_151463,
birnlex_12614,NIFDYS:birnlex_12614
CHEBI:31174,
oen_0001000,
PATO_0002047,OBO:PATO_0002047
nlx_92731,
nlx_149531,
DB00718,
CHEBI:16708,
sao2077117136,NIFMOL:sao2077117136
birnlex_1581,NIFGA:birnlex_1581
PATO_0002090,OBO:PATO_0002090
CHEBI:16335,
nifext_5196,NIFMOL:nifext_5196
nifext_5226,NIFMOL:nifext_5226
nifext_5227,NIFMOL:nifext_5227
nifext_5229,NIFMOL:nifext_5229
nifext_5197,NIFMOL:nifext_5197
nifext_5195,NIFMOL:nifext_5195
nifext_5198,NIFMOL:nifext_5198
DB00131,
nifext_5716,NIFMOL:nifext_5716
DB00171,
oen_0001099,
PATO_0001431,OBO:PATO_0001431
DB00546,
birnlex_12670,NIFDYS:birnlex_12670
nlx_149532,
nlx_149533,
nlx_149534,
nlx_149535,
nlx_149536,
