Categorys,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Piriform cortex layer 2a,Piriform cortex layer 2a,"Piriform cortex layer IIa,layer IIa of piriform cortex,layer 2a of piriform cortex",nlx_anat_091007,,"Shepherd, G. S. The synaptic organization of the brain, 5th ed, New York, Oxford University Press, 2003.",Cell layer,,Superficial region of layer 2 of the piriform cortex characterized by a less dense packing of cells and a concentration of semilunar cell bodies,cyto-architecture,,,,
:Category:Piriform cortex layer 2b,Piriform cortex layer 2b,,nlx_anat_091008,,"Shepherd, G. S. The synaptic organization of the brain, 5th ed, New York, Oxford University Press, 2003.",Cell layer,,Deeper of two subdivisions of piriform layer 2 characterized by more densely packed cell bodies dominated by pyramidal cell bodies.,cyto-architecture,,,,
:Category:Piriform cortex layer 3,Piriform cortex layer 3,layer 3 of piriform cortex,nlx_anat_091009,,"Shepherd, G. S. The synaptic organization of the brain, 5th ed, New York, Oxford University Press, 2003.",Cell layer,,Deepest of 3 cytoarchitecturally defined layers of the piriform cortex characterized by a moderately high density of pyramidal cells and large numbers of basal dendrites descending from pyramidal cells in layer 2.,cyto-architecture,,,,
:Category:Primary motor cortex layer 1,Primary motor cortex layer 1,"Primary motor cortex lamina I,primary motor cortex lamina 1",nlx_152661,,,Cell layer,,,,,,,
:Category:Primary motor cortex layer 5,Primary motor cortex layer 5,"primary motor cortex lamina V,primary motor cortex layer V",nlx_144263,,,Cell layer,,Lamina of primary motor cortex,,,,,
:Category:Primary motor cortex layer 6,Primary motor cortex layer 6,"primary motor cortex lamina VI,primary motor cortex lamina 6,primary motor cortex layer VI",nlx_144264,,,Cell layer,,Lamina of primary motor cortex,,,,,
:Category:Purkinje cell layer of cerebellar cortex,Purkinje cell layer of cerebellar cortex,,birnlex_818,,,Cell layer,,"A cell layer of the cerebellar cortex,  characterized by a single sheet of very large, bottle-shaped Purkinje neurons that are regularly spaced and possess flattened fanlike dendritic arborizations, lying deep to the molecular layer and superficial to the granule cell layer.",cyto-architecture,,,Pk,
:Category:Retina ganglion cell layer,Retina ganglion cell layer,"retinal ganglion cell layer,retinal ganglionic layer,ganglionic layer",UBERON_0001792,,,Cell layer,,"Cytoarchitectural layer of retina that contains somata of retinal ganglion cells, bounded by the stratum opticum and the inner plexiform layer",,,,,
:Category:Retina inner nuclear layer,Retina inner nuclear layer,layer of inner granules,nlx_93816,,,Cell layer,,"Cytoarchitectural layer of retina containing closely packed cell bodies, the majority of which are bipolar cells (adapted from Wikipedia).",,,,,
:Category:Retina inner plexiform layer,Retina inner plexiform layer,"Stratum plexiforme internum,inner plexiform layer of retina,retinal inner plexiform layer. internal plexiform layer of retina,retinal internal plexiform layer",nlx_20558,,,Cell layer,,Cytoarchitectural layer of the retina that is made up of a dense reticulum of fibrils formed by interlaced dendrites of retinal ganglion cells and cells of the inner nuclear layer (adapted from Wikipedia),,,,,
:Category:Retina outer nuclear layer,Retina outer nuclear layer,Outer nuclear layer of retina,nlx_152183,,,Cell layer,,,,,,,
:Category:Retina outer plexiform layer,Retina outer plexiform layer,external plexiform layer,nlx_152184,,,Cell layer,,"A layer of neuronal synapses in the retina of the eye, bounded by the inner nuclear layer and the outer nuclear layer. It consists of a dense network of synapses between dendrites of horizontal cells from the inner nuclear layer, and photoreceptor cell inner segments from the outer nuclear layer. It is much thinner than the inner plexiform layer, where amacrine cells cells synapse with retinal ganglion cells (adapted from Wikipedia: http://en.wikipedia.org/wiki/Outer_plexiform_layer)",,,,,
